Player,Rank,Sets_Won,Games_Won,Aces,DoubleFaults,FirstServes_Won,FirstServes_In,SecondServes_Won,SecondServes_In,BreakPoints_Won,BreakPoints,ReturnPoints_Won,ReturnPoints_Faced,TotalPoints_Won,won_game?,FirstServes_ratio,SecondServes_ratio,BreakPoints_ratio,ReturnPoints_ratio,datetime,year,Tournament,Round_Description,Court_Surface,Total_Serves,Aces%,ServesWon%
David Goffin,174.0,2.0,16,8.0,3.0,40.0,51.0,18.0,34.0,3.0,12.0,27.0,77.0,85,1,0.7843137254901961,0.5294117647058824,0.25,0.35064935064935066,2012-01-02,2012,Chennai,First Round,Hard,85.0,0.09411764705882353,0.6823529411764706
David Goffin,174.0,2.0,16,6.0,4.0,30.0,43.0,25.0,39.0,4.0,16.0,41.0,98.0,96,1,0.6976744186046512,0.6410256410256411,0.25,0.41836734693877553,2012-01-02,2012,Chennai,Second Round,Hard,82.0,0.07317073170731707,0.6707317073170732
Dudi Sela,83.0,2.0,16,3.0,2.0,44.0,60.0,17.0,27.0,3.0,7.0,43.0,104.0,104,1,0.7333333333333333,0.6296296296296297,0.42857142857142855,0.41346153846153844,2012-01-02,2012,Chennai,Second Round,Hard,87.0,0.034482758620689655,0.7011494252873564
Stan Wawrinka,17.0,2.0,16,10.0,1.0,35.0,52.0,19.0,30.0,5.0,11.0,45.0,104.0,99,1,0.6730769230769231,0.6333333333333333,0.45454545454545453,0.4326923076923077,2012-01-02,2012,Chennai,Second Round,Hard,82.0,0.12195121951219512,0.6585365853658537
Go Soeda,120.0,2.0,13,4.0,3.0,32.0,43.0,18.0,30.0,2.0,7.0,27.0,69.0,77,1,0.7441860465116279,0.6,0.2857142857142857,0.391304347826087,2012-01-02,2012,Chennai,Second Round,Hard,73.0,0.0547945205479452,0.684931506849315
Milos Raonic,31.0,2.0,12,9.0,1.0,27.0,35.0,14.0,21.0,3.0,6.0,22.0,52.0,63,1,0.7714285714285715,0.6666666666666666,0.5,0.4230769230769231,2012-01-02,2012,Chennai,Second Round,Hard,56.0,0.16071428571428573,0.7321428571428571
Yuichi Sugita,235.0,2.0,13,3.0,4.0,36.0,51.0,19.0,42.0,3.0,10.0,33.0,79.0,88,1,0.7058823529411765,0.4523809523809524,0.3,0.4177215189873418,2012-01-02,2012,Chennai,Second Round,Hard,93.0,0.03225806451612903,0.5913978494623656
Janko Tipsarevic,9.0,2.0,12,5.0,1.0,17.0,20.0,16.0,21.0,4.0,4.0,18.0,39.0,51,1,0.85,0.7619047619047619,1.0,0.46153846153846156,2012-01-02,2012,Chennai,Second Round,Hard,41.0,0.12195121951219512,0.8048780487804879
Janko Tipsarevic,9.0,2.0,15,7.0,0.0,36.0,44.0,13.0,23.0,4.0,13.0,38.0,91.0,87,1,0.8181818181818182,0.5652173913043478,0.3076923076923077,0.4175824175824176,2012-01-02,2012,Chennai,Quarter-finals,Hard,67.0,0.1044776119402985,0.7313432835820896
Milos Raonic,31.0,2.0,13,15.0,1.0,34.0,41.0,19.0,28.0,1.0,1.0,17.0,59.0,70,1,0.8292682926829268,0.6785714285714286,1.0,0.288135593220339,2012-01-02,2012,Chennai,Quarter-finals,Hard,69.0,0.21739130434782608,0.7681159420289855
Go Soeda,120.0,2.0,12,1.0,4.0,25.0,39.0,18.0,35.0,5.0,8.0,34.0,65.0,77,1,0.6410256410256411,0.5142857142857142,0.625,0.5230769230769231,2012-01-02,2012,Chennai,Quarter-finals,Hard,74.0,0.013513513513513514,0.581081081081081
Nicolas Almagro,10.0,2.0,17,6.0,0.0,43.0,65.0,35.0,58.0,3.0,6.0,39.0,105.0,117,1,0.6615384615384615,0.603448275862069,0.5,0.37142857142857144,2012-01-02,2012,Chennai,Quarter-finals,Hard,123.0,0.04878048780487805,0.6341463414634146
Janko Tipsarevic,9.0,2.0,12,4.0,0.0,25.0,31.0,9.0,13.0,4.0,6.0,30.0,61.0,64,1,0.8064516129032258,0.6923076923076923,0.6666666666666666,0.4918032786885246,2012-01-02,2012,Chennai,Semi-finals,Hard,44.0,0.09090909090909091,0.7727272727272727
Milos Raonic,31.0,2.0,12,17.0,1.0,38.0,42.0,4.0,12.0,2.0,6.0,21.0,60.0,63,1,0.9047619047619048,0.3333333333333333,0.3333333333333333,0.35,2012-01-02,2012,Chennai,Semi-finals,Hard,54.0,0.3148148148148148,0.7777777777777778
Milos Raonic,31.0,2.0,20,35.0,1.0,73.0,83.0,15.0,30.0,0.0,9.0,45.0,138.0,133,1,0.8795180722891566,0.5,0.0,0.32608695652173914,2012-01-02,2012,Chennai,Finals,Hard,113.0,0.30973451327433627,0.7787610619469026
Igor Andreev,115.0,2.0,13,7.0,3.0,33.0,41.0,16.0,29.0,3.0,6.0,23.0,60.0,72,1,0.8048780487804879,0.5517241379310345,0.5,0.38333333333333336,2012-01-02,2012,Brisbane,First Round,Hard,70.0,0.1,0.7
Alexandr Dolgopolov,15.0,2.0,13,5.0,0.0,26.0,37.0,16.0,38.0,5.0,9.0,30.0,58.0,72,1,0.7027027027027027,0.42105263157894735,0.5555555555555556,0.5172413793103449,2012-01-02,2012,Brisbane,First Round,Hard,75.0,0.06666666666666667,0.56
Tatsuma Ito,122.0,2.0,12,6.0,0.0,24.0,30.0,15.0,22.0,3.0,11.0,31.0,68.0,70,1,0.8,0.6818181818181818,0.2727272727272727,0.45588235294117646,2012-01-02,2012,Brisbane,First Round,Hard,52.0,0.11538461538461539,0.75
Kei Nishikori,25.0,2.0,15,1.0,2.0,31.0,49.0,16.0,26.0,5.0,14.0,40.0,90.0,87,1,0.6326530612244898,0.6153846153846154,0.35714285714285715,0.4444444444444444,2012-01-02,2012,Brisbane,First Round,Hard,75.0,0.013333333333333334,0.6266666666666667
Denis Istomin,73.0,1.0,9,10.0,1.0,23.0,28.0,18.0,28.0,0.0,0.0,16.0,55.0,57,1,0.8214285714285714,0.6428571428571429,0.0,0.2909090909090909,2012-01-02,2012,Brisbane,First Round,Hard,56.0,0.17857142857142858,0.7321428571428571
Jarkko Nieminen,77.0,2.0,13,3.0,0.0,32.0,53.0,10.0,18.0,5.0,14.0,44.0,90.0,86,1,0.6037735849056604,0.5555555555555556,0.35714285714285715,0.4888888888888889,2012-01-02,2012,Brisbane,First Round,Hard,71.0,0.04225352112676056,0.5915492957746479
Santiago Giraldo,55.0,2.0,12,5.0,0.0,30.0,36.0,9.0,18.0,3.0,4.0,19.0,46.0,58,1,0.8333333333333334,0.5,0.75,0.41304347826086957,2012-01-02,2012,Brisbane,First Round,Hard,54.0,0.09259259259259259,0.7222222222222222
Bernard Tomic,42.0,2.0,17,7.0,2.0,36.0,53.0,23.0,39.0,5.0,21.0,54.0,121.0,113,1,0.6792452830188679,0.5897435897435898,0.23809523809523808,0.4462809917355372,2012-01-02,2012,Brisbane,First Round,Hard,92.0,0.07608695652173914,0.6413043478260869
Philipp Petzschner,63.0,2.0,13,8.0,1.0,31.0,37.0,13.0,24.0,3.0,3.0,24.0,54.0,68,1,0.8378378378378378,0.5416666666666666,1.0,0.4444444444444444,2012-01-02,2012,Brisbane,First Round,Hard,61.0,0.13114754098360656,0.7213114754098361
Tommy Haas,205.0,2.0,13,4.0,2.0,32.0,40.0,14.0,26.0,3.0,13.0,34.0,77.0,80,1,0.8,0.5384615384615384,0.23076923076923078,0.44155844155844154,2012-01-02,2012,Brisbane,First Round,Hard,66.0,0.06060606060606061,0.696969696969697
Radek Stepanek,28.0,2.0,15,8.0,4.0,38.0,51.0,22.0,40.0,2.0,12.0,37.0,99.0,97,1,0.7450980392156863,0.55,0.16666666666666666,0.37373737373737376,2012-01-02,2012,Brisbane,First Round,Hard,91.0,0.08791208791208792,0.6593406593406593
Andy Murray,4.0,2.0,17,10.0,0.0,41.0,57.0,17.0,35.0,5.0,9.0,33.0,77.0,91,1,0.7192982456140351,0.4857142857142857,0.5555555555555556,0.42857142857142855,2012-01-02,2012,Brisbane,First Round,Hard,92.0,0.10869565217391304,0.6304347826086957
James Duckworth,275.0,2.0,12,5.0,1.0,25.0,31.0,12.0,21.0,4.0,7.0,22.0,52.0,59,1,0.8064516129032258,0.5714285714285714,0.5714285714285714,0.4230769230769231,2012-01-02,2012,Brisbane,First Round,Hard,52.0,0.09615384615384616,0.7115384615384616
Gilles Muller,54.0,2.0,19,23.0,1.0,47.0,55.0,31.0,49.0,1.0,2.0,29.0,103.0,107,1,0.8545454545454545,0.6326530612244898,0.5,0.2815533980582524,2012-01-02,2012,Brisbane,First Round,Hard,104.0,0.22115384615384615,0.75
Marcos Baghdatis,44.0,2.0,13,8.0,3.0,26.0,31.0,26.0,40.0,2.0,4.0,26.0,79.0,78,1,0.8387096774193549,0.65,0.5,0.3291139240506329,2012-01-02,2012,Brisbane,First Round,Hard,71.0,0.11267605633802817,0.7323943661971831
Gilles Simon,12.0,2.0,12,3.0,1.0,32.0,43.0,10.0,20.0,3.0,8.0,27.0,60.0,69,1,0.7441860465116279,0.5,0.375,0.45,2012-01-02,2012,Brisbane,First Round,Hard,63.0,0.047619047619047616,0.6666666666666666
Andy Murray,4.0,2.0,17,9.0,5.0,44.0,49.0,12.0,33.0,4.0,6.0,36.0,92.0,92,1,0.8979591836734694,0.36363636363636365,0.6666666666666666,0.391304347826087,2012-01-02,2012,Brisbane,Second Round,Hard,82.0,0.10975609756097561,0.6829268292682927
Alexandr Dolgopolov,15.0,2.0,19,0.0,2.0,54.0,78.0,24.0,42.0,4.0,9.0,41.0,115.0,119,1,0.6923076923076923,0.5714285714285714,0.4444444444444444,0.3565217391304348,2012-01-02,2012,Brisbane,Second Round,Hard,120.0,0.0,0.65
Gilles Simon,12.0,2.0,13,11.0,4.0,26.0,31.0,21.0,35.0,3.0,8.0,27.0,67.0,74,1,0.8387096774193549,0.6,0.375,0.40298507462686567,2012-01-02,2012,Brisbane,Second Round,Hard,66.0,0.16666666666666666,0.7121212121212122
Radek Stepanek,28.0,2.0,13,3.0,0.0,26.0,39.0,15.0,24.0,4.0,4.0,30.0,66.0,71,1,0.6666666666666666,0.625,1.0,0.45454545454545453,2012-01-02,2012,Brisbane,Second Round,Hard,63.0,0.047619047619047616,0.6507936507936508
Marcos Baghdatis,44.0,2.0,12,10.0,2.0,26.0,33.0,13.0,30.0,4.0,7.0,25.0,50.0,64,1,0.7878787878787878,0.43333333333333335,0.5714285714285714,0.5,2012-01-02,2012,Brisbane,Second Round,Hard,63.0,0.15873015873015872,0.6190476190476191
Santiago Giraldo,55.0,2.0,12,1.0,2.0,27.0,35.0,15.0,24.0,2.0,3.0,24.0,66.0,66,1,0.7714285714285715,0.625,0.6666666666666666,0.36363636363636365,2012-01-02,2012,Brisbane,Second Round,Hard,59.0,0.01694915254237288,0.711864406779661
Bernard Tomic,42.0,2.0,12,10.0,1.0,24.0,30.0,7.0,15.0,5.0,6.0,23.0,39.0,54,1,0.8,0.4666666666666667,0.8333333333333334,0.5897435897435898,2012-01-02,2012,Brisbane,Second Round,Hard,45.0,0.2222222222222222,0.6888888888888889
Bernard Tomic,42.0,2.0,13,8.0,0.0,36.0,45.0,15.0,27.0,1.0,1.0,16.0,57.0,67,1,0.8,0.5555555555555556,1.0,0.2807017543859649,2012-01-02,2012,Brisbane,Quarter-finals,Hard,72.0,0.1111111111111111,0.7083333333333334
Andy Murray,4.0,2.0,12,3.0,2.0,26.0,31.0,10.0,21.0,4.0,4.0,21.0,40.0,57,1,0.8387096774193549,0.47619047619047616,1.0,0.525,2012-01-02,2012,Brisbane,Quarter-finals,Hard,52.0,0.057692307692307696,0.6923076923076923
Alexandr Dolgopolov,15.0,2.0,16,16.0,2.0,33.0,52.0,21.0,36.0,5.0,13.0,40.0,92.0,94,1,0.6346153846153846,0.5833333333333334,0.38461538461538464,0.43478260869565216,2012-01-02,2012,Brisbane,Quarter-finals,Hard,88.0,0.18181818181818182,0.6136363636363636
Gilles Simon,12.0,2.0,13,5.0,1.0,34.0,47.0,18.0,31.0,3.0,8.0,33.0,78.0,85,1,0.723404255319149,0.5806451612903226,0.375,0.4230769230769231,2012-01-02,2012,Brisbane,Quarter-finals,Hard,78.0,0.0641025641025641,0.6666666666666666
Andy Murray,4.0,2.0,12,13.0,1.0,30.0,34.0,8.0,14.0,3.0,11.0,21.0,52.0,59,1,0.8823529411764706,0.5714285714285714,0.2727272727272727,0.40384615384615385,2012-01-02,2012,Brisbane,Semi-finals,Hard,48.0,0.2708333333333333,0.7916666666666666
Alexandr Dolgopolov,15.0,2.0,12,3.0,0.0,23.0,27.0,15.0,21.0,3.0,7.0,25.0,65.0,63,1,0.8518518518518519,0.7142857142857143,0.42857142857142855,0.38461538461538464,2012-01-02,2012,Brisbane,Semi-finals,Hard,48.0,0.0625,0.7916666666666666
Andy Murray,4.0,2.0,12,9.0,2.0,25.0,30.0,9.0,17.0,5.0,10.0,36.0,66.0,70,1,0.8333333333333334,0.5294117647058824,0.5,0.5454545454545454,2012-01-02,2012,Brisbane,Finals,Hard,47.0,0.19148936170212766,0.723404255319149
Albert Ramos-Vinolas,66.0,2.0,13,3.0,4.0,28.0,34.0,13.0,25.0,4.0,12.0,31.0,65.0,72,1,0.8235294117647058,0.52,0.3333333333333333,0.47692307692307695,2012-01-02,2012,Doha,First Round,Hard,59.0,0.05084745762711865,0.6949152542372882
Mikhail Youzhny,35.0,2.0,18,4.0,2.0,51.0,75.0,15.0,23.0,5.0,9.0,41.0,96.0,107,1,0.68,0.6521739130434783,0.5555555555555556,0.4270833333333333,2012-01-02,2012,Doha,First Round,Hard,98.0,0.04081632653061224,0.673469387755102
Alex Bogomolov Jr.,34.0,2.0,17,6.0,0.0,34.0,52.0,15.0,27.0,7.0,13.0,51.0,105.0,100,1,0.6538461538461539,0.5555555555555556,0.5384615384615384,0.4857142857142857,2012-01-02,2012,Doha,First Round,Hard,79.0,0.0759493670886076,0.620253164556962
Benjamin Becker,304.0,2.0,13,3.0,0.0,28.0,41.0,11.0,20.0,4.0,7.0,35.0,75.0,74,1,0.6829268292682927,0.55,0.5714285714285714,0.4666666666666667,2012-01-02,2012,Doha,First Round,Hard,61.0,0.04918032786885246,0.639344262295082
Flavio Cipolla,75.0,2.0,12,0.0,1.0,18.0,19.0,6.0,10.0,6.0,10.0,27.0,37.0,51,1,0.9473684210526315,0.6,0.6,0.7297297297297297,2012-01-02,2012,Doha,First Round,Hard,29.0,0.0,0.8275862068965517
Viktor Troicki,22.0,2.0,13,16.0,1.0,38.0,42.0,10.0,21.0,2.0,4.0,25.0,69.0,73,1,0.9047619047619048,0.47619047619047616,0.5,0.36231884057971014,2012-01-02,2012,Doha,First Round,Hard,63.0,0.25396825396825395,0.7619047619047619
Andreas Seppi,38.0,2.0,12,5.0,0.0,23.0,29.0,10.0,17.0,5.0,12.0,29.0,57.0,62,1,0.7931034482758621,0.5882352941176471,0.4166666666666667,0.5087719298245614,2012-01-02,2012,Doha,First Round,Hard,46.0,0.10869565217391304,0.717391304347826
Jo-Wilfried Tsonga,6.0,2.0,19,12.0,1.0,62.0,77.0,23.0,44.0,2.0,4.0,32.0,99.0,117,1,0.8051948051948052,0.5227272727272727,0.5,0.32323232323232326,2012-01-02,2012,Doha,First Round,Hard,121.0,0.09917355371900827,0.7024793388429752
Roger Federer,3.0,2.0,12,4.0,0.0,27.0,35.0,5.0,6.0,4.0,7.0,23.0,45.0,55,1,0.7714285714285715,0.8333333333333334,0.5714285714285714,0.5111111111111111,2012-01-02,2012,Doha,First Round,Hard,41.0,0.0975609756097561,0.7804878048780488
Guillermo Garcia-Lopez,65.0,2.0,14,2.0,4.0,42.0,60.0,11.0,25.0,4.0,5.0,25.0,66.0,78,1,0.7,0.44,0.8,0.3787878787878788,2012-01-02,2012,Doha,First Round,Hard,85.0,0.023529411764705882,0.6235294117647059
Rafael Nadal,2.0,2.0,18,7.0,0.0,47.0,67.0,15.0,23.0,4.0,12.0,41.0,100.0,103,1,0.7014925373134329,0.6521739130434783,0.3333333333333333,0.41,2012-01-02,2012,Doha,First Round,Hard,90.0,0.07777777777777778,0.6888888888888889
Denis Gremelmayr,189.0,2.0,12,3.0,1.0,32.0,42.0,11.0,26.0,4.0,8.0,26.0,53.0,69,1,0.7619047619047619,0.4230769230769231,0.5,0.49056603773584906,2012-01-02,2012,Doha,First Round,Hard,68.0,0.04411764705882353,0.6323529411764706
Matthias Bachinger,94.0,2.0,12,4.0,1.0,30.0,48.0,19.0,31.0,3.0,11.0,28.0,64.0,77,1,0.625,0.6129032258064516,0.2727272727272727,0.4375,2012-01-02,2012,Doha,First Round,Hard,79.0,0.05063291139240506,0.620253164556962
Gael Monfils,16.0,2.0,13,1.0,0.0,31.0,47.0,6.0,9.0,5.0,11.0,34.0,72.0,71,1,0.6595744680851063,0.6666666666666666,0.45454545454545453,0.4722222222222222,2012-01-02,2012,Doha,First Round,Hard,56.0,0.017857142857142856,0.6607142857142857
Grega Zemlja,116.0,2.0,16,3.0,2.0,32.0,42.0,16.0,31.0,6.0,8.0,35.0,72.0,83,1,0.7619047619047619,0.5161290322580645,0.75,0.4861111111111111,2012-01-02,2012,Doha,First Round,Hard,73.0,0.0410958904109589,0.6575342465753424
Ivo Karlovic,56.0,2.0,19,8.0,1.0,52.0,66.0,21.0,35.0,2.0,5.0,28.0,98.0,101,1,0.7878787878787878,0.6,0.4,0.2857142857142857,2012-01-02,2012,Doha,First Round,Hard,101.0,0.07920792079207921,0.7227722772277227
Gael Monfils,16.0,2.0,18,6.0,5.0,52.0,77.0,20.0,41.0,5.0,22.0,56.0,132.0,128,1,0.6753246753246753,0.4878048780487805,0.22727272727272727,0.42424242424242425,2012-01-02,2012,Doha,Second Round,Hard,118.0,0.05084745762711865,0.6101694915254238
Rafael Nadal,2.0,2.0,12,1.0,0.0,24.0,28.0,9.0,12.0,4.0,15.0,38.0,79.0,71,1,0.8571428571428571,0.75,0.26666666666666666,0.4810126582278481,2012-01-02,2012,Doha,Second Round,Hard,40.0,0.025,0.825
Jo-Wilfried Tsonga,6.0,2.0,13,6.0,2.0,29.0,40.0,13.0,27.0,4.0,10.0,36.0,81.0,78,1,0.725,0.48148148148148145,0.4,0.4444444444444444,2012-01-02,2012,Doha,Second Round,Hard,67.0,0.08955223880597014,0.6268656716417911
Roger Federer,3.0,2.0,12,2.0,0.0,24.0,32.0,14.0,17.0,3.0,6.0,22.0,50.0,60,1,0.75,0.8235294117647058,0.5,0.44,2012-01-02,2012,Doha,Second Round,Hard,49.0,0.04081632653061224,0.7755102040816326
Andreas Seppi,38.0,2.0,13,4.0,1.0,28.0,43.0,9.0,17.0,5.0,8.0,26.0,60.0,63,1,0.6511627906976745,0.5294117647058824,0.625,0.43333333333333335,2012-01-02,2012,Doha,Second Round,Hard,60.0,0.06666666666666667,0.6166666666666667
Mikhail Youzhny,35.0,2.0,18,5.0,0.0,59.0,77.0,8.0,23.0,4.0,8.0,36.0,91.0,103,1,0.7662337662337663,0.34782608695652173,0.5,0.3956043956043956,2012-01-02,2012,Doha,Second Round,Hard,100.0,0.05,0.67
Viktor Troicki,22.0,2.0,13,7.0,0.0,30.0,37.0,12.0,20.0,3.0,7.0,31.0,73.0,73,1,0.8108108108108109,0.6,0.42857142857142855,0.4246575342465753,2012-01-02,2012,Doha,Second Round,Hard,57.0,0.12280701754385964,0.7368421052631579
Jo-Wilfried Tsonga,6.0,2.0,12,5.0,2.0,26.0,31.0,6.0,13.0,5.0,8.0,29.0,56.0,61,1,0.8387096774193549,0.46153846153846156,0.625,0.5178571428571429,2012-01-02,2012,Doha,Quarter-finals,Hard,44.0,0.11363636363636363,0.7272727272727273
Roger Federer,3.0,2.0,17,12.0,2.0,47.0,66.0,14.0,29.0,5.0,9.0,31.0,78.0,92,1,0.7121212121212122,0.4827586206896552,0.5555555555555556,0.3974358974358974,2012-01-02,2012,Doha,Quarter-finals,Hard,95.0,0.12631578947368421,0.6421052631578947
Rafael Nadal,2.0,2.0,12,1.0,1.0,33.0,44.0,10.0,23.0,3.0,6.0,26.0,58.0,69,1,0.75,0.43478260869565216,0.5,0.4482758620689655,2012-01-02,2012,Doha,Quarter-finals,Hard,67.0,0.014925373134328358,0.6417910447761194
Gael Monfils,16.0,2.0,12,4.0,3.0,26.0,34.0,7.0,15.0,5.0,11.0,32.0,62.0,65,1,0.7647058823529411,0.4666666666666667,0.45454545454545453,0.5161290322580645,2012-01-02,2012,Doha,Quarter-finals,Hard,49.0,0.08163265306122448,0.673469387755102
Gael Monfils,16.0,2.0,12,4.0,1.0,36.0,52.0,8.0,16.0,3.0,3.0,21.0,50.0,65,1,0.6923076923076923,0.5,1.0,0.42,2012-01-02,2012,Doha,Semi-finals,Hard,68.0,0.058823529411764705,0.6470588235294118
Jo-Wilfried Tsonga,6.0,2.0,13,2.0,0.0,24.0,32.0,20.0,28.0,3.0,3.0,22.0,53.0,66,1,0.75,0.7142857142857143,1.0,0.41509433962264153,2012-01-02,2012,Doha,Finals,Hard,60.0,0.03333333333333333,0.7333333333333333
Julien Benneteau,49.0,2.0,12,6.0,2.0,28.0,33.0,13.0,20.0,2.0,3.0,18.0,50.0,59,1,0.8484848484848485,0.65,0.6666666666666666,0.36,2012-01-09,2012,Sydney,First Round,Hard,53.0,0.11320754716981132,0.7735849056603774
Marcos Baghdatis,43.0,2.0,12,14.0,6.0,27.0,37.0,19.0,36.0,3.0,8.0,29.0,67.0,75,1,0.7297297297297297,0.5277777777777778,0.375,0.43283582089552236,2012-01-09,2012,Sydney,First Round,Hard,73.0,0.1917808219178082,0.6301369863013698
Lukasz Kubot,58.0,2.0,14,5.0,2.0,34.0,45.0,21.0,40.0,2.0,6.0,19.0,65.0,74,1,0.7555555555555555,0.525,0.3333333333333333,0.2923076923076923,2012-01-09,2012,Sydney,First Round,Hard,85.0,0.058823529411764705,0.6470588235294118
Jarkko Nieminen,77.0,2.0,12,2.0,1.0,41.0,62.0,4.0,11.0,5.0,8.0,30.0,54.0,75,1,0.6612903225806451,0.36363636363636365,0.625,0.5555555555555556,2012-01-09,2012,Sydney,First Round,Hard,73.0,0.0273972602739726,0.6164383561643836
Viktor Troicki,21.0,2.0,16,13.0,0.0,41.0,55.0,13.0,31.0,5.0,13.0,42.0,93.0,96,1,0.7454545454545455,0.41935483870967744,0.38461538461538464,0.45161290322580644,2012-01-09,2012,Sydney,First Round,Hard,86.0,0.1511627906976744,0.627906976744186
Matthew Ebden,97.0,2.0,15,6.0,5.0,42.0,60.0,20.0,37.0,3.0,6.0,23.0,65.0,85,1,0.7,0.5405405405405406,0.5,0.35384615384615387,2012-01-09,2012,Sydney,First Round,Hard,97.0,0.061855670103092786,0.6391752577319587
Fabio Fognini,46.0,2.0,14,5.0,3.0,30.0,46.0,12.0,28.0,6.0,8.0,34.0,62.0,76,1,0.6521739130434783,0.42857142857142855,0.75,0.5483870967741935,2012-01-09,2012,Sydney,First Round,Hard,74.0,0.06756756756756757,0.5675675675675675
Denis Istomin,67.0,2.0,14,6.0,1.0,33.0,46.0,20.0,31.0,3.0,10.0,40.0,95.0,93,1,0.717391304347826,0.6451612903225806,0.3,0.42105263157894735,2012-01-09,2012,Sydney,First Round,Hard,77.0,0.07792207792207792,0.6883116883116883
Alex Bogomolov Jr.,34.0,2.0,13,2.0,4.0,45.0,66.0,12.0,28.0,2.0,6.0,25.0,76.0,82,1,0.6818181818181818,0.42857142857142855,0.3333333333333333,0.32894736842105265,2012-01-09,2012,Sydney,First Round,Hard,94.0,0.02127659574468085,0.6063829787234043
Bobby Reynolds,126.0,2.0,13,3.0,3.0,28.0,39.0,15.0,30.0,5.0,7.0,28.0,63.0,71,1,0.717948717948718,0.5,0.7142857142857143,0.4444444444444444,2012-01-09,2012,Sydney,First Round,Hard,69.0,0.043478260869565216,0.6231884057971014
Radek Stepanek,31.0,2.0,18,14.0,6.0,55.0,74.0,21.0,41.0,3.0,10.0,40.0,110.0,116,1,0.7432432432432432,0.5121951219512195,0.3,0.36363636363636365,2012-01-09,2012,Sydney,First Round,Hard,115.0,0.12173913043478261,0.6608695652173913
Richard Gasquet,18.0,2.0,12,1.0,2.0,24.0,28.0,9.0,15.0,4.0,8.0,25.0,47.0,58,1,0.8571428571428571,0.6,0.5,0.5319148936170213,2012-01-09,2012,Sydney,Second Round,Hard,43.0,0.023255813953488372,0.7674418604651163
Julien Benneteau,49.0,2.0,12,4.0,1.0,31.0,44.0,12.0,15.0,2.0,2.0,19.0,51.0,62,1,0.7045454545454546,0.8,1.0,0.37254901960784315,2012-01-09,2012,Sydney,Second Round,Hard,59.0,0.06779661016949153,0.7288135593220338
