Player,Rank,Sets_Won,Games_Won,Aces,DoubleFaults,FirstServes_Won,FirstServes_In,SecondServes_Won,SecondServes_In,BreakPoints_Won,BreakPoints,ReturnPoints_Won,ReturnPoints_Faced,TotalPoints_Won,won_game?,FirstServes_ratio,SecondServes_ratio,BreakPoints_ratio,ReturnPoints_ratio,datetime,year,Tournament,Round_Description,Court_Surface,Total_Serves,Aces%,ServesWon%
Ana Ivanovic,16.0,2.0,13,6.0,2.0,28.0,32.0,13.0,19.0,3.0,8.0,29.0,66.0,70.0,1,0.875,0.6842105263157895,0.375,0.4393939393939394,2014-01-01,2014,Auckland,Semi-finals,Hard,51.0,0.11764705882352941,0.803921568627451
Ana Ivanovic,16.0,2.0,17,5.0,4.0,51.0,72.0,16.0,35.0,4.0,12.0,47.0,109.0,114.0,1,0.7083333333333334,0.45714285714285713,0.3333333333333333,0.43119266055045874,2014-01-01,2014,Auckland,Finals,Hard,107.0,0.04672897196261682,0.6261682242990654
Jelena Jankovic,8.0,2.0,13,2.0,3.0,25.0,38.0,20.0,38.0,4.0,6.0,35.0,73.0,80.0,1,0.6578947368421053,0.5263157894736842,0.6666666666666666,0.4794520547945205,2014-01-01,2014,Brisbane,First Round,Hard,76.0,0.02631578947368421,0.5921052631578947
Ashleigh Barty,190.0,2.0,13,2.0,3.0,25.0,35.0,15.0,21.0,4.0,7.0,27.0,65.0,67.0,1,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.4153846153846154,2014-01-01,2014,Brisbane,First Round,Hard,56.0,0.03571428571428571,0.7142857142857143
Andrea Petkovic,43.0,2.0,13,5.0,4.0,31.0,42.0,13.0,27.0,4.0,7.0,36.0,80.0,80.0,1,0.7380952380952381,0.48148148148148145,0.5714285714285714,0.45,2014-01-01,2014,Brisbane,First Round,Hard,69.0,0.07246376811594203,0.6376811594202898
Elina Svitolina,45.0,2.0,12,1.0,5.0,21.0,32.0,12.0,24.0,6.0,11.0,32.0,57.0,65.0,1,0.65625,0.5,0.5454545454545454,0.5614035087719298,2014-01-01,2014,Brisbane,First Round,Hard,56.0,0.017857142857142856,0.5892857142857143
Carla Suarez Navarro,17.0,2.0,12,1.0,0.0,19.0,27.0,8.0,12.0,6.0,19.0,40.0,70.0,67.0,1,0.7037037037037037,0.6666666666666666,0.3157894736842105,0.5714285714285714,2014-01-01,2014,Brisbane,First Round,Hard,39.0,0.02564102564102564,0.6923076923076923
Casey Dellacqua,142.0,2.0,15,1.0,5.0,36.0,53.0,13.0,34.0,6.0,13.0,42.0,88.0,91.0,1,0.6792452830188679,0.38235294117647056,0.46153846153846156,0.4772727272727273,2014-01-01,2014,Brisbane,First Round,Hard,87.0,0.011494252873563218,0.5632183908045977
Anastasia Pavlyuchenkova,26.0,2.0,17,8.0,11.0,45.0,65.0,19.0,38.0,4.0,4.0,41.0,102.0,105.0,1,0.6923076923076923,0.5,1.0,0.4019607843137255,2014-01-01,2014,Brisbane,First Round,Hard,103.0,0.07766990291262135,0.6213592233009708
Sabine Lisicki,15.0,2.0,12,7.0,1.0,29.0,42.0,17.0,24.0,2.0,4.0,25.0,63.0,71.0,1,0.6904761904761905,0.7083333333333334,0.5,0.3968253968253968,2014-01-01,2014,Brisbane,First Round,Hard,66.0,0.10606060606060606,0.696969696969697
Kaia Kanepi,30.0,2.0,18,11.0,7.0,39.0,49.0,22.0,42.0,5.0,10.0,43.0,102.0,104.0,1,0.7959183673469388,0.5238095238095238,0.5,0.4215686274509804,2014-01-01,2014,Brisbane,First Round,Hard,91.0,0.12087912087912088,0.6703296703296703
Kimiko Date,75.0,2.0,13,2.0,5.0,28.0,44.0,15.0,28.0,4.0,8.0,25.0,58.0,68.0,1,0.6363636363636364,0.5357142857142857,0.5,0.43103448275862066,2014-01-01,2014,Brisbane,First Round,Hard,72.0,0.027777777777777776,0.5972222222222222
Angelique Kerber,9.0,2.0,12,3.0,2.0,22.0,30.0,16.0,23.0,4.0,11.0,31.0,60.0,69.0,1,0.7333333333333333,0.6956521739130435,0.36363636363636365,0.5166666666666667,2014-01-01,2014,Brisbane,First Round,Hard,53.0,0.05660377358490566,0.7169811320754716
Maria Sharapova,4.0,2.0,12,6.0,1.0,20.0,24.0,12.0,17.0,4.0,6.0,25.0,48.0,57.0,1,0.8333333333333334,0.7058823529411765,0.6666666666666666,0.5208333333333334,2014-01-01,2014,Brisbane,First Round,Hard,41.0,0.14634146341463414,0.7804878048780488
Dominika Cibulkova,23.0,2.0,12,0.0,3.0,27.0,40.0,13.0,21.0,4.0,7.0,36.0,74.0,76.0,1,0.675,0.6190476190476191,0.5714285714285714,0.4864864864864865,2014-01-01,2014,Brisbane,First Round,Hard,61.0,0.0,0.6557377049180327
Stefanie Voegele,50.0,2.0,12,5.0,2.0,23.0,30.0,11.0,19.0,4.0,9.0,29.0,67.0,63.0,1,0.7666666666666667,0.5789473684210527,0.4444444444444444,0.43283582089552236,2014-01-01,2014,Brisbane,First Round,Hard,49.0,0.10204081632653061,0.6938775510204082
Serena Williams,1.0,2.0,12,11.0,3.0,30.0,38.0,16.0,31.0,3.0,7.0,32.0,75.0,78.0,1,0.7894736842105263,0.5161290322580645,0.42857142857142855,0.4266666666666667,2014-01-01,2014,Brisbane,Second Round,Hard,69.0,0.15942028985507245,0.6666666666666666
Victoria Azarenka,2.0,2.0,12,2.0,1.0,26.0,36.0,6.0,12.0,5.0,13.0,27.0,52.0,59.0,1,0.7222222222222222,0.5,0.38461538461538464,0.5192307692307693,2014-01-01,2014,Brisbane,Second Round,Hard,48.0,0.041666666666666664,0.6666666666666666
Kaia Kanepi,30.0,2.0,12,5.0,1.0,19.0,25.0,7.0,18.0,6.0,8.0,32.0,55.0,58.0,1,0.76,0.3888888888888889,0.75,0.5818181818181818,2014-01-01,2014,Brisbane,Second Round,Hard,43.0,0.11627906976744186,0.6046511627906976
Angelique Kerber,9.0,2.0,10,1.0,2.0,26.0,35.0,11.0,22.0,3.0,7.0,23.0,56.0,60.0,1,0.7428571428571429,0.5,0.42857142857142855,0.4107142857142857,2014-01-01,2014,Brisbane,Second Round,Hard,57.0,0.017543859649122806,0.6491228070175439
Dominika Cibulkova,23.0,2.0,13,3.0,5.0,36.0,64.0,16.0,36.0,5.0,14.0,48.0,99.0,100.0,1,0.5625,0.4444444444444444,0.35714285714285715,0.48484848484848486,2014-01-01,2014,Brisbane,Second Round,Hard,100.0,0.03,0.52
Jelena Jankovic,8.0,2.0,12,3.0,0.0,20.0,25.0,12.0,15.0,4.0,8.0,27.0,55.0,59.0,1,0.8,0.8,0.5,0.4909090909090909,2014-01-01,2014,Brisbane,Second Round,Hard,40.0,0.075,0.8
Maria Sharapova,4.0,2.0,16,8.0,4.0,35.0,46.0,17.0,38.0,6.0,8.0,38.0,80.0,90.0,1,0.7608695652173914,0.4473684210526316,0.75,0.475,2014-01-01,2014,Brisbane,Quarter-finals,Hard,84.0,0.09523809523809523,0.6190476190476191
Jelena Jankovic,8.0,2.0,18,3.0,6.0,45.0,58.0,16.0,33.0,6.0,13.0,59.0,124.0,120.0,1,0.7758620689655172,0.48484848484848486,0.46153846153846156,0.47580645161290325,2014-01-01,2014,Brisbane,Quarter-finals,Hard,91.0,0.03296703296703297,0.6703296703296703
Victoria Azarenka,2.0,2.0,18,2.0,7.0,45.0,68.0,16.0,33.0,7.0,17.0,49.0,101.0,110.0,1,0.6617647058823529,0.48484848484848486,0.4117647058823529,0.48514851485148514,2014-01-01,2014,Brisbane,Quarter-finals,Hard,101.0,0.019801980198019802,0.6039603960396039
Serena Williams,1.0,2.0,12,12.0,0.0,22.0,25.0,15.0,18.0,3.0,4.0,16.0,43.0,53.0,1,0.88,0.8333333333333334,0.75,0.37209302325581395,2014-01-01,2014,Brisbane,Quarter-finals,Hard,43.0,0.27906976744186046,0.8604651162790697
Victoria Azarenka,2.0,2.0,13,2.0,8.0,35.0,62.0,11.0,28.0,6.0,13.0,39.0,82.0,85.0,1,0.5645161290322581,0.39285714285714285,0.46153846153846156,0.47560975609756095,2014-01-01,2014,Brisbane,Semi-finals,Hard,90.0,0.022222222222222223,0.5111111111111111
Serena Williams,1.0,2.0,13,7.0,7.0,18.0,26.0,15.0,38.0,6.0,8.0,34.0,64.0,67.0,1,0.6923076923076923,0.39473684210526316,0.75,0.53125,2014-01-01,2014,Brisbane,Semi-finals,Hard,64.0,0.109375,0.515625
Serena Williams,1.0,2.0,13,10.0,0.0,27.0,36.0,13.0,23.0,4.0,8.0,33.0,76.0,73.0,1,0.75,0.5652173913043478,0.5,0.4342105263157895,2014-01-01,2014,Brisbane,Finals,Hard,59.0,0.1694915254237288,0.6779661016949152
Na Li,3.0,2.0,13,3.0,7.0,37.0,56.0,14.0,27.0,4.0,8.0,29.0,63.0,80.0,1,0.6607142857142857,0.5185185185185185,0.5,0.4603174603174603,2014-01-01,2014,Shenzhen,First Round,Hard,83.0,0.03614457831325301,0.6144578313253012
Viktorija Golubic,196.0,2.0,16,0.0,3.0,30.0,47.0,15.0,33.0,8.0,13.0,37.0,65.0,82.0,1,0.6382978723404256,0.45454545454545453,0.6153846153846154,0.5692307692307692,2014-01-01,2014,Shenzhen,First Round,Hard,80.0,0.0,0.5625
Latisha Chan,257.0,2.0,15,0.0,4.0,31.0,55.0,10.0,22.0,8.0,13.0,56.0,104.0,97.0,1,0.5636363636363636,0.45454545454545453,0.6153846153846154,0.5384615384615384,2014-01-01,2014,Shenzhen,First Round,Hard,77.0,0.0,0.5324675324675324
Jie Zheng,53.0,2.0,12,0.0,3.0,32.0,61.0,14.0,23.0,7.0,15.0,41.0,70.0,87.0,1,0.5245901639344263,0.6086956521739131,0.4666666666666667,0.5857142857142857,2014-01-01,2014,Shenzhen,First Round,Hard,84.0,0.0,0.5476190476190477
Barbora Strycova,94.0,2.0,13,5.0,1.0,31.0,48.0,13.0,26.0,5.0,11.0,31.0,66.0,75.0,1,0.6458333333333334,0.5,0.45454545454545453,0.4696969696969697,2014-01-01,2014,Shenzhen,First Round,Hard,74.0,0.06756756756756757,0.5945945945945946
Vania King,85.0,2.0,17,0.0,1.0,42.0,70.0,21.0,33.0,5.0,11.0,47.0,107.0,110.0,1,0.6,0.6363636363636364,0.45454545454545453,0.4392523364485981,2014-01-01,2014,Shenzhen,First Round,Hard,103.0,0.0,0.6116504854368932
Anna-Lena Friedsam,122.0,2.0,13,3.0,2.0,22.0,38.0,13.0,25.0,6.0,9.0,37.0,63.0,72.0,1,0.5789473684210527,0.52,0.6666666666666666,0.5873015873015873,2014-01-01,2014,Shenzhen,First Round,Hard,63.0,0.047619047619047616,0.5555555555555556
Jana Cepelova,76.0,2.0,16,1.0,0.0,39.0,57.0,12.0,25.0,6.0,15.0,46.0,92.0,97.0,1,0.6842105263157895,0.48,0.4,0.5,2014-01-01,2014,Shenzhen,First Round,Hard,82.0,0.012195121951219513,0.6219512195121951
Annika Beck,58.0,2.0,12,0.0,6.0,28.0,42.0,6.0,15.0,6.0,10.0,33.0,59.0,67.0,1,0.6666666666666666,0.4,0.6,0.559322033898305,2014-01-01,2014,Shenzhen,First Round,Hard,57.0,0.0,0.5964912280701754
Silvia Soler-Espinosa,82.0,2.0,13,2.0,3.0,30.0,45.0,18.0,35.0,4.0,7.0,33.0,76.0,81.0,1,0.6666666666666666,0.5142857142857142,0.5714285714285714,0.4342105263157895,2014-01-01,2014,Shenzhen,First Round,Hard,80.0,0.025,0.6
Nadiya Kichenok,101.0,2.0,8,2.0,0.0,13.0,15.0,6.0,8.0,4.0,8.0,21.0,31.0,40.0,1,0.8666666666666667,0.75,0.5,0.6774193548387096,2014-01-01,2014,Shenzhen,First Round,Hard,23.0,0.08695652173913043,0.8260869565217391
Sara Errani,7.0,2.0,16,0.0,1.0,42.0,69.0,12.0,19.0,6.0,14.0,47.0,98.0,101.0,1,0.6086956521739131,0.631578947368421,0.42857142857142855,0.47959183673469385,2014-01-01,2014,Shenzhen,First Round,Hard,88.0,0.0,0.6136363636363636
Patricia Mayr-Achleitner,92.0,2.0,12,0.0,2.0,21.0,33.0,7.0,18.0,7.0,10.0,30.0,40.0,58.0,1,0.6363636363636364,0.3888888888888889,0.7,0.75,2014-01-01,2014,Shenzhen,First Round,Hard,51.0,0.0,0.5490196078431373
Monica Niculescu,59.0,2.0,16,3.0,7.0,35.0,51.0,9.0,33.0,8.0,14.0,49.0,92.0,93.0,1,0.6862745098039216,0.2727272727272727,0.5714285714285714,0.532608695652174,2014-01-01,2014,Shenzhen,First Round,Hard,84.0,0.03571428571428571,0.5238095238095238
Klara Koukalova,35.0,2.0,13,4.0,4.0,30.0,46.0,14.0,27.0,5.0,6.0,26.0,51.0,70.0,1,0.6521739130434783,0.5185185185185185,0.8333333333333334,0.5098039215686274,2014-01-01,2014,Shenzhen,First Round,Hard,73.0,0.0547945205479452,0.6027397260273972
Shuai Peng,42.0,2.0,12,1.0,0.0,24.0,34.0,13.0,18.0,4.0,6.0,29.0,53.0,66.0,1,0.7058823529411765,0.7222222222222222,0.6666666666666666,0.5471698113207547,2014-01-01,2014,Shenzhen,First Round,Hard,52.0,0.019230769230769232,0.7115384615384616
Patricia Mayr-Achleitner,92.0,2.0,13,3.0,3.0,34.0,60.0,22.0,35.0,4.0,11.0,35.0,74.0,91.0,1,0.5666666666666667,0.6285714285714286,0.36363636363636365,0.47297297297297297,2014-01-01,2014,Shenzhen,Second Round,Hard,95.0,0.031578947368421054,0.5894736842105263
Barbora Strycova,94.0,2.0,13,0.0,3.0,25.0,37.0,17.0,26.0,4.0,6.0,30.0,60.0,72.0,1,0.6756756756756757,0.6538461538461539,0.6666666666666666,0.5,2014-01-01,2014,Shenzhen,Second Round,Hard,63.0,0.0,0.6666666666666666
Vania King,85.0,2.0,15,1.0,3.0,40.0,66.0,13.0,36.0,6.0,21.0,60.0,126.0,113.0,1,0.6060606060606061,0.3611111111111111,0.2857142857142857,0.47619047619047616,2014-01-01,2014,Shenzhen,Second Round,Hard,102.0,0.00980392156862745,0.5196078431372549
Monica Niculescu,59.0,2.0,14,1.0,3.0,31.0,49.0,9.0,24.0,7.0,12.0,40.0,72.0,80.0,1,0.6326530612244898,0.375,0.5833333333333334,0.5555555555555556,2014-01-01,2014,Shenzhen,Second Round,Hard,73.0,0.0136986301369863,0.547945205479452
Shuai Peng,42.0,2.0,12,6.0,4.0,27.0,32.0,8.0,18.0,4.0,5.0,32.0,68.0,67.0,1,0.84375,0.4444444444444444,0.8,0.47058823529411764,2014-01-01,2014,Shenzhen,Second Round,Hard,50.0,0.12,0.7
Na Li,3.0,2.0,12,3.0,6.0,24.0,32.0,11.0,24.0,5.0,10.0,36.0,68.0,71.0,1,0.75,0.4583333333333333,0.5,0.5294117647058824,2014-01-01,2014,Shenzhen,Second Round,Hard,56.0,0.05357142857142857,0.625
Annika Beck,58.0,2.0,17,0.0,3.0,41.0,76.0,7.0,25.0,11.0,16.0,56.0,90.0,104.0,1,0.5394736842105263,0.28,0.6875,0.6222222222222222,2014-01-01,2014,Shenzhen,Second Round,Hard,101.0,0.0,0.4752475247524752
Jana Cepelova,76.0,2.0,12,1.0,3.0,29.0,35.0,8.0,15.0,3.0,4.0,19.0,46.0,56.0,1,0.8285714285714286,0.5333333333333333,0.75,0.41304347826086957,2014-01-01,2014,Shenzhen,Second Round,Hard,50.0,0.02,0.74
Vania King,85.0,2.0,12,1.0,1.0,22.0,29.0,11.0,20.0,4.0,12.0,29.0,60.0,62.0,1,0.7586206896551724,0.55,0.3333333333333333,0.48333333333333334,2014-01-01,2014,Shenzhen,Quarter-finals,Hard,49.0,0.02040816326530612,0.673469387755102
Na Li,3.0,2.0,17,3.0,1.0,34.0,57.0,23.0,31.0,5.0,10.0,39.0,93.0,96.0,1,0.5964912280701754,0.7419354838709677,0.5,0.41935483870967744,2014-01-01,2014,Shenzhen,Quarter-finals,Hard,88.0,0.03409090909090909,0.6477272727272727
Annika Beck,58.0,2.0,15,4.0,3.0,35.0,57.0,13.0,23.0,6.0,11.0,44.0,91.0,92.0,1,0.6140350877192983,0.5652173913043478,0.5454545454545454,0.4835164835164835,2014-01-01,2014,Shenzhen,Quarter-finals,Hard,80.0,0.05,0.6
Shuai Peng,42.0,2.0,12,3.0,2.0,22.0,29.0,12.0,22.0,5.0,6.0,25.0,46.0,59.0,1,0.7586206896551724,0.5454545454545454,0.8333333333333334,0.5434782608695652,2014-01-01,2014,Shenzhen,Quarter-finals,Hard,51.0,0.058823529411764705,0.6666666666666666
Na Li,3.0,2.0,12,1.0,3.0,22.0,28.0,7.0,17.0,6.0,7.0,29.0,46.0,58.0,1,0.7857142857142857,0.4117647058823529,0.8571428571428571,0.6304347826086957,2014-01-01,2014,Shenzhen,Semi-finals,Hard,45.0,0.022222222222222223,0.6444444444444445
Na Li,3.0,2.0,13,4.0,7.0,35.0,52.0,9.0,26.0,5.0,11.0,34.0,71.0,78.0,1,0.6730769230769231,0.34615384615384615,0.45454545454545453,0.4788732394366197,2014-01-01,2014,Shenzhen,Finals,Hard,78.0,0.05128205128205128,0.5641025641025641
Lucie Safarova,27.0,2.0,12,2.0,3.0,29.0,45.0,10.0,18.0,4.0,12.0,27.0,62.0,66.0,1,0.6444444444444445,0.5555555555555556,0.3333333333333333,0.43548387096774194,2014-01-06,2014,Sydney,First Round,Hard,63.0,0.031746031746031744,0.6190476190476191
Ajla Tomljanovic,75.0,2.0,13,7.0,2.0,28.0,33.0,13.0,28.0,4.0,9.0,33.0,71.0,74.0,1,0.8484848484848485,0.4642857142857143,0.4444444444444444,0.4647887323943662,2014-01-06,2014,Sydney,First Round,Hard,61.0,0.11475409836065574,0.6721311475409836
Ekaterina Makarova,23.0,2.0,12,8.0,5.0,21.0,30.0,14.0,26.0,5.0,10.0,31.0,63.0,66.0,1,0.7,0.5384615384615384,0.5,0.49206349206349204,2014-01-06,2014,Sydney,First Round,Hard,56.0,0.14285714285714285,0.625
Varvara Lepchenko,52.0,2.0,16,1.0,5.0,40.0,64.0,15.0,28.0,5.0,12.0,38.0,94.0,93.0,1,0.625,0.5357142857142857,0.4166666666666667,0.40425531914893614,2014-01-06,2014,Sydney,First Round,Hard,92.0,0.010869565217391304,0.5978260869565217
Sara Errani,7.0,2.0,12,1.0,0.0,30.0,44.0,5.0,11.0,4.0,12.0,36.0,73.0,71.0,1,0.6818181818181818,0.45454545454545453,0.3333333333333333,0.4931506849315068,2014-01-06,2014,Sydney,First Round,Hard,55.0,0.01818181818181818,0.6363636363636364
Lauren Davis,67.0,2.0,13,4.0,1.0,36.0,49.0,19.0,29.0,2.0,7.0,34.0,92.0,89.0,1,0.7346938775510204,0.6551724137931034,0.2857142857142857,0.3695652173913043,2014-01-06,2014,Sydney,First Round,Hard,78.0,0.05128205128205128,0.7051282051282052
Angelique Kerber,9.0,2.0,14,2.0,5.0,31.0,50.0,13.0,33.0,6.0,13.0,51.0,97.0,95.0,1,0.62,0.3939393939393939,0.46153846153846156,0.5257731958762887,2014-01-06,2014,Sydney,First Round,Hard,83.0,0.024096385542168676,0.5301204819277109
Christina Mchale,65.0,2.0,19,2.0,5.0,47.0,74.0,12.0,38.0,9.0,14.0,56.0,113.0,115.0,1,0.6351351351351351,0.3157894736842105,0.6428571428571429,0.49557522123893805,2014-01-06,2014,Sydney,First Round,Hard,112.0,0.017857142857142856,0.5267857142857143
