Player1,Player2,Rank_diff,Sets_Won_diff,Games_Won_diff,Aces_diff,DoubleFaults_diff,FirstServes_Won_diff,FirstServes_In_diff,SecondServes_Won_diff,SecondServes_In_diff,BreakPoints_Won_diff,BreakPoints_diff,ReturnPoints_Won_diff,ReturnPoints_Faced_diff,TotalPoints_Won_diff,FirstServes_ratio_diff,SecondServes_ratio_diff,BreakPoints_ratio_diff,ReturnPoints_ratio_diff,Court_Surface,Round_Description,datetime,year,month,day,Round_Description_clean,Player1_Rank,Player2_Rank,Player1_Rank_Grouped,Player2_Rank_Grouped,Player1Win
Pierre-Ludovic Duclos,Facundo Bagnis,92.0,1,0,0.0,2.0,2,-1,-1,2,0.0,-1.0,0.0,-1.0,1,0.05781683626271972,-0.08148148148148149,0.07142857142857145,0.004946727549467289,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,247.0,155.0,"(225.0, 250.0]","(150.0, 175.0]",1
Romain Jouan,Gerard Granollers,-5.0,1,1,7.0,1.0,5,6,-2,0,0.0,1.0,-3.0,-6.0,0,0.013112491373360902,-0.045454545454545414,-0.03030303030303033,-0.006699197750392849,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,226.0,231.0,"(225.0, 250.0]","(225.0, 250.0]",1
Peter Gojowczyk,Gregoire Burquier,-10.0,2,8,3.0,-2.0,10,1,0,-5,4.0,3.0,14.0,4.0,24,0.31724137931034485,0.11904761904761907,0.5,0.2556521739130435,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,248.0,258.0,"(225.0, 250.0]","(250.0, 275.0]",1
Guilherme Clezar,Alex Kuznetsov,120.0,-2,-6,-1.0,1.0,-5,2,2,6,-3.0,-6.0,-11.0,-8.0,-14,-0.1313405797101449,-0.045454545454545414,-0.10714285714285715,-0.10448916408668735,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,287.0,167.0,"(275.0, 300.0]","(150.0, 175.0]",0
Javier Marti,Harri Heliovaara,-14.0,2,9,3.0,-4.0,6,0,0,-13,4.0,11.0,19.0,13.0,25,0.2068965517241379,0.22608695652173916,-0.5384615384615384,0.2820512820512821,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,180.0,194.0,"(175.0, 200.0]","(175.0, 200.0]",1
Inigo Cervantes,James Ward,51.0,-1,-5,-1.0,-5.0,1,20,9,17,-2.0,-11.0,-27.0,-37.0,-17,-0.16199095022624443,0.014530551415797288,0.20588235294117646,-0.0919316325248209,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,212.0,161.0,"(200.0, 225.0]","(150.0, 175.0]",0
Izak van der Merwe,Jimmy Wang,-161.0,-2,-6,-2.0,2.0,-1,7,-7,-1,-3.0,-2.0,-14.0,-6.0,-22,-0.1405405405405405,-0.34795321637426896,-0.23809523809523808,-0.21669758812615952,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,114.0,275.0,"(100.0, 125.0]","(250.0, 275.0]",0
James Lemke,Augustin Gensse,132.0,-1,-6,-2.0,1.0,9,27,-8,-8,-3.0,-4.0,-18.0,-19.0,-17,-0.15008625646923512,-0.2564102564102564,-0.11688311688311687,-0.11926742108397859,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,291.0,159.0,"(275.0, 300.0]","(150.0, 175.0]",0
Jan Hajek,Martin Fischer,-79.0,-1,-5,1.0,2.0,-7,-6,-1,5,-3.0,-2.0,-7.0,1.0,-15,-0.05263157894736836,-0.12888198757763975,-0.23809523809523808,-0.08673050615595074,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,140.0,219.0,"(125.0, 150.0]","(200.0, 225.0]",0
Aljaz Bedene,Jan Mertl,-50.0,2,8,4.0,-4.0,9,5,4,-3,4.0,3.0,11.0,-2.0,24,0.20977011494252873,0.2607655502392345,1.0,0.2518115942028985,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,163.0,213.0,"(150.0, 175.0]","(200.0, 225.0]",1
Lukas Lacko,Jaroslav Pospisil,-88.0,2,9,1.0,0.0,14,12,2,-3,4.0,3.0,7.0,-9.0,23,0.2222222222222222,0.2222222222222222,1.0,0.2296918767507003,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,119.0,207.0,"(100.0, 125.0]","(200.0, 225.0]",1
Jiri Vesely,Kamil Capkovic,244.0,-2,-7,-0.0,-1.0,1,10,-2,7,-4.0,-8.0,-18.0,-17.0,-19,-0.14920634920634923,-0.3095238095238096,-0.16666666666666669,-0.20439084724799012,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,495.0,251.0,"(475.0, 500.0]","(250.0, 275.0]",0
John Millman,Vasek Pospisil,374.0,-1,-2,-5.0,-1.0,-10,-14,-2,-5,-1.0,3.0,7.0,19.0,-5,-0.009070294784580546,0.01573426573426573,-0.2272727272727273,-0.0031860662701784226,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,496.0,122.0,"(475.0, 500.0]","(100.0, 125.0]",0
Farrukh Dustov,John-Patrick Smith,-175.0,1,4,3.0,0.0,6,-1,0,-4,3.0,-2.0,11.0,5.0,17,0.10116550116550116,0.06153846153846154,0.36666666666666664,0.09455128205128205,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,261.0,436.0,"(250.0, 275.0]","(425.0, 450.0]",1
Juan Pablo Brzezicki,Andre Ghem,-22.0,-2,-2,-2.0,-3.0,7,30,-8,-26,-0.0,-3.0,-5.0,-4.0,-6,-0.17499999999999993,0.17142857142857137,0.1388888888888889,-0.034751773049645385,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,281.0,303.0,"(275.0, 300.0]","(300.0, 325.0]",0
Juan Sebastian Cabal,Eduardo Schwank,102.0,-2,-8,-0.0,2.0,-10,-9,-1,8,-4.0,-6.0,-10.0,1.0,-21,-0.10555555555555551,-0.22898550724637678,-0.2545454545454545,-0.1754237288135594,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,245.0,143.0,"(225.0, 250.0]","(125.0, 150.0]",0
Laurynas Grigelis,Konstantin Kravchuk,12.0,-1,-5,-3.0,1.0,-5,-1,4,10,-1.0,-5.0,-10.0,-9.0,-11,-0.0816400580551524,-0.02122015915119363,0.19999999999999996,-0.07611900294827123,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,197.0,185.0,"(175.0, 200.0]","(175.0, 200.0]",0
Jonathan Dasnieres de Veigy,Ludovic Walter,-70.0,2,10,2.0,0.0,19,16,-6,-19,5.0,7.0,16.0,3.0,29,0.3055555555555556,0.0824175824175824,0.5,0.3311425682507584,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,214.0,284.0,"(200.0, 225.0]","(275.0, 300.0]",1
Ivo Minar,Luke Saville,-317.0,2,6,1.0,-1.0,10,7,-1,-9,2.0,3.0,11.0,2.0,20,0.11594202898550732,0.165158371040724,0.17857142857142855,0.16092796092796097,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,179.0,496.0,"(175.0, 200.0]","(475.0, 500.0]",1
Malek Jaziri,Tim Smyczek,-150.0,-2,-5,1.0,3.0,-12,-10,10,22,-2.0,-0.0,-14.0,-12.0,-16,-0.10499999999999998,0.09230769230769231,-0.39999999999999997,-0.13587301587301587,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,123.0,273.0,"(100.0, 125.0]","(250.0, 275.0]",0
Marsel Ilhan,Amer Delic,-97.0,-1,-5,-10.0,-0.0,-13,-2,-4,-17,-2.0,-3.0,2.0,19.0,-15,-0.1881342701014832,0.2364864864864865,-0.175,-0.05271604938271601,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,113.0,210.0,"(100.0, 125.0]","(200.0, 225.0]",0
Gianluca Naso,Matt Reid,-46.0,1,1,1.0,-6.0,5,15,4,-2,0.0,0.0,-4.0,-13.0,5,-0.08978675645342316,0.07960927960927966,0.0,0.0025445292620865367,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,225.0,271.0,"(200.0, 225.0]","(250.0, 275.0]",1
Maverick Banes,Yannick Mertens,244.0,-2,-5,-2.0,1.0,-7,-4,-4,1,-2.0,-6.0,-8.0,3.0,-19,-0.10554561717352406,-0.2142857142857143,0.5714285714285714,-0.14497950819672129,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,496.0,252.0,"(475.0, 500.0]","(250.0, 275.0]",0
Maxime Authom,Rik De Voest,98.0,-1,-9,1.0,1.0,-14,-13,-1,-2,-4.0,-4.0,-0.0,15.0,-15,-0.14102564102564108,-0.0047619047619048005,-0.2,-0.09555879140880957,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,224.0,126.0,"(200.0, 225.0]","(125.0, 150.0]",0
Michael Lammer,Simone Bolelli,115.0,-1,-1,-4.0,4.0,-2,4,0,-4,-0.0,-0.0,-2.0,-0.0,-4,-0.05565978736710453,0.043542800593765474,-0.0,-0.016000000000000014,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,249.0,134.0,"(225.0, 250.0]","(125.0, 150.0]",0
Michael Look,Roberto Bautista Agut,164.0,-2,-4,4.0,3.0,-18,-26,9,21,-2.0,-2.0,-4.0,5.0,-13,-0.04621212121212126,-0.055727554179566596,-0.15000000000000002,-0.0767686129131912,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,339.0,175.0,"(325.0, 350.0]","(150.0, 175.0]",0
Michael Yani,David Guez,-11.0,-2,-3,-0.0,-0.0,5,15,-5,-4,-1.0,-11.0,-11.0,-11.0,-11,-0.07518796992481203,-0.1227586206896552,0.625,-0.0755754036413604,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,177.0,188.0,"(175.0, 200.0]","(175.0, 200.0]",0
Mathieu Rodrigues,Nick Kyrgios,-281.0,1,6,-1.0,-1.0,1,-10,5,-1,3.0,13.0,17.0,11.0,23,0.14175506268080995,0.13066202090592333,-0.26666666666666666,0.12674124102997048,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,215.0,496.0,"(200.0, 225.0]","(475.0, 500.0]",1
Nikola Ciric,Denis Kudla,-89.0,-1,-3,13.0,2.0,5,8,-1,12,-1.0,-2.0,-16.0,-20.0,-12,-0.012694512694512716,-0.23928571428571432,-0.08571428571428569,-0.09369167599850692,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,187.0,276.0,"(175.0, 200.0]","(275.0, 300.0]",0
Pavol Cervenak,Go Soeda,118.0,-2,-6,1.0,-1.0,9,12,-10,3,-3.0,-11.0,-16.0,-15.0,-17,-0.0,-0.391705069124424,-0.25,-0.16876257545271628,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,217.0,99.0,"(200.0, 225.0]","(75.0, 100.0]",0
Peter Torebko,Caio Zampieri,-20.0,-2,-5,2.0,6.0,-11,-20,-1,7,-2.0,-2.0,1.0,13.0,-11,0.07526881720430112,-0.15456989247311825,-0.1616161616161616,-0.06215053763440859,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,235.0,255.0,"(225.0, 250.0]","(250.0, 275.0]",0
Philipp Oswald,Arnau Brugues-Davi,127.0,-2,-4,10.0,-2.0,-3,3,-2,0,-1.0,-3.0,-8.0,-3.0,-13,-0.11388888888888882,-0.07407407407407407,0.16666666666666663,-0.09388888888888891,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,265.0,138.0,"(250.0, 275.0]","(125.0, 150.0]",0
Frederik Nielsen,Rajeev Ram,93.0,2,4,2.0,1.0,14,13,-4,-6,2.0,2.0,3.0,-7.0,13,0.1474358974358974,-0.04545454545454547,0.12121212121212122,0.08854376764824529,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,240.0,147.0,"(225.0, 250.0]","(125.0, 150.0]",1
Raven Klaasen,Jan Hernych,76.0,-2,-5,-0.0,3.0,-4,4,2,8,-2.0,-7.0,-14.0,-12.0,-16,-0.1679197994987469,-0.0974658869395712,0.625,-0.15102974828375287,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,241.0,165.0,"(225.0, 250.0]","(150.0, 175.0]",0
Florent Serra,Robby Ginepri,-157.0,2,4,-7.0,4.0,8,8,9,15,1.0,-4.0,-6.0,-23.0,11,0.035862068965517246,0.09595959595959597,0.375,0.023270846800258593,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,156.0,313.0,"(150.0, 175.0]","(300.0, 325.0]",1
Robert Farah,Antonio Veic,57.0,-1,-3,-2.0,-3.0,-2,8,12,28,-2.0,-8.0,-26.0,-36.0,-16,-0.1183035714285714,-0.012500000000000011,0.23809523809523808,-0.11372180451127822,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,230.0,173.0,"(225.0, 250.0]","(150.0, 175.0]",0
Illya Marchenko,Rogerio Dutra Silva,126.0,2,7,4.0,2.0,3,-4,5,1,3.0,5.0,11.0,3.0,19,0.161904761904762,0.26143790849673204,0.375,0.18227762803234504,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,246.0,120.0,"(225.0, 250.0]","(100.0, 125.0]",1
Roman Borvanov,Igor Andreev,126.0,-2,-5,-2.0,-1.0,-7,1,1,-2,-3.0,-2.0,-5.0,1.0,-11,-0.22100840336134464,0.10555555555555557,-0.33333333333333337,-0.10132774283717683,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,244.0,118.0,"(225.0, 250.0]","(100.0, 125.0]",0
Ruben Bemelmans,Yuichi Sugita,-59.0,-2,-7,1.0,1.0,-5,2,2,12,-3.0,-7.0,-17.0,-14.0,-20,-0.17251461988304095,-0.13333333333333336,-0.06666666666666671,-0.19396681749622924,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,150.0,209.0,"(125.0, 150.0]","(200.0, 225.0]",0
Sebastian Rieschick,Guillaume Rufin,32.0,-1,-1,1.0,12.0,0,-4,3,14,-0.0,1.0,-7.0,-10.0,-4,0.03959131545338446,-0.08214096449390562,-0.044871794871794934,-0.021553884711779492,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,260.0,228.0,"(250.0, 275.0]","(225.0, 250.0]",0
Simon Greul,Jesse Huta Galung,-79.0,-1,-3,-7.0,-4.0,-14,-9,9,7,-2.0,5.0,-3.0,2.0,-8,-0.1703703703703704,0.14864864864864863,-0.28921568627450983,-0.0435856278552908,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,154.0,233.0,"(150.0, 175.0]","(225.0, 250.0]",0
Peter Polansky,Simone Vagnozzi,105.0,2,7,7.0,0.0,10,12,3,4,3.0,2.0,-3.0,-16.0,10,0.1082621082621083,0.04545454545454547,0.2916666666666667,0.08445839874411304,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,269.0,164.0,"(250.0, 275.0]","(150.0, 175.0]",1
Alexander Kudryavtsev,Tsung-Hua Yang,-6.0,1,3,-1.0,1.0,-4,-16,6,7,2.0,3.0,11.0,9.0,13,0.12433281004709573,0.09207459207459207,0.025000000000000022,0.08710801393728218,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,172.0,178.0,"(150.0, 175.0]","(175.0, 200.0]",1
Uladzimir Ignatik,Jurgen Zopp,57.0,-1,0,1.0,-3.0,-5,-15,-2,-9,-2.0,7.0,17.0,24.0,10,0.08999999999999997,0.040570175438596534,-0.6333333333333334,0.06481481481481483,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,205.0,148.0,"(200.0, 225.0]","(125.0, 150.0]",0
Yuri Schukin,Carsten Ball,-172.0,-1,-3,-8.0,-0.0,-3,7,2,4,-1.0,-5.0,-12.0,-11.0,-13,-0.12201963534361848,0.006993006993007034,0.13636363636363635,-0.09047619047619049,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,192.0,364.0,"(175.0, 200.0]","(350.0, 375.0]",0
Adrian Menendez-Maceiras,Joao Sousa,4.0,-2,-3,-4.0,-1.0,-5,9,6,2,-1.0,-9.0,-10.0,-11.0,-9,-0.21271929824561397,0.13450292397660824,0.2692307692307692,-0.0639097744360902,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,195.0,191.0,"(175.0, 200.0]","(175.0, 200.0]",0
Aljaz Bedene,Lukas Lacko,44.0,-2,-10,-0.0,-1.0,-9,-4,2,13,-4.0,-8.0,-16.0,-9.0,-23,-0.2098214285714286,-0.25217391304347825,-0.3333333333333333,-0.26750700280112044,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,163.0,119.0,"(150.0, 175.0]","(100.0, 125.0]",0
Yannick Mertens,Amer Delic,42.0,1,4,-6.0,-2.0,6,-3,-4,-7,3.0,3.0,12.0,10.0,14,0.12679303278688525,-0.002152080344332896,0.22222222222222227,0.08120300751879694,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,252.0,210.0,"(250.0, 275.0]","(200.0, 225.0]",1
Matteo Viola,Antonio Veic,-20.0,1,3,-2.0,3.0,-1,1,11,18,2.0,-5.0,-9.0,-19.0,1,-0.022213994816734584,0.02317290552584672,0.3,-0.013207547169811318,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,153.0,173.0,"(150.0, 175.0]","(150.0, 175.0]",1
Arnau Brugues-Davi,Alex Kuznetsov,-29.0,-2,-8,-5.0,3.0,-1,11,-1,6,-4.0,-6.0,-19.0,-17.0,-21,-0.2966751918158568,-0.24285714285714288,0.2857142857142857,-0.27527527527527523,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,138.0,167.0,"(125.0, 150.0]","(150.0, 175.0]",0
Peter Polansky,Augustin Gensse,110.0,2,7,7.0,-1.0,-2,-13,9,3,3.0,2.0,17.0,10.0,24,0.20853858784893264,0.4144736842105263,0.75,0.2607758620689655,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,269.0,159.0,"(250.0, 275.0]","(150.0, 175.0]",1
Jesse Huta Galung,Caio Zampieri,-22.0,2,12,1.0,1.0,8,-10,5,4,6.0,8.0,19.0,6.0,32,0.5333333333333334,0.2142857142857143,0.5454545454545454,0.4397058823529412,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,233.0,255.0,"(225.0, 250.0]","(250.0, 275.0]",1
David Goffin,Guillaume Rufin,-60.0,-2,-4,-2.0,1.0,0,4,1,10,-2.0,-4.0,-13.0,-14.0,-12,-0.07272727272727275,-0.16761363636363635,-0.2857142857142857,-0.12351443123938882,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,168.0,228.0,"(150.0, 175.0]","(225.0, 250.0]",0
Eduardo Schwank,Denis Kudla,-133.0,-2,-6,-1.0,-1.0,-6,3,-1,0,-3.0,-3.0,-10.0,-3.0,-17,-0.25454545454545463,-0.04347826086956519,-0.3214285714285714,-0.1613881401617251,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,143.0,276.0,"(125.0, 150.0]","(275.0, 300.0]",0
Rik De Voest,Farrukh Dustov,-135.0,1,7,-3.0,0.0,-5,-15,8,4,4.0,11.0,14.0,11.0,17,0.07326007326007322,0.22564102564102562,0.11249999999999999,0.09822167080231592,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,126.0,261.0,"(125.0, 150.0]","(250.0, 275.0]",1
Yuichi Sugita,Gianluca Naso,-16.0,2,4,-1.0,-1.0,3,8,4,-1,1.0,0.0,0.0,-7.0,7,-0.08125000000000004,0.18840579710144928,0.25,0.04563492063492064,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,209.0,225.0,"(200.0, 225.0]","(200.0, 225.0]",1
Denys Molchanov,Go Soeda,168.0,2,6,3.0,-3.0,5,1,1,-1,3.0,2.0,6.0,0.0,12,0.12184873949579822,0.07368421052631574,0.75,0.1111111111111111,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,267.0,99.0,"(250.0, 275.0]","(75.0, 100.0]",1
Grega Zemlja,Peter Gojowczyk,-138.0,-2,-9,-1.0,2.0,-14,-16,-8,-4,-4.0,4.0,-2.0,20.0,-24,-0.15000000000000002,-0.32492997198879553,-0.8888888888888888,-0.2247101159536185,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,110.0,248.0,"(100.0, 125.0]","(225.0, 250.0]",0
Igor Andreev,Igor Sijsling,-78.0,-2,-4,-5.0,1.0,-6,-1,-7,-13,-1.0,2.0,1.0,14.0,-12,-0.1176767676767676,-0.0056022408963585235,-0.4666666666666666,-0.05004868549172348,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,118.0,196.0,"(100.0, 125.0]","(175.0, 200.0]",0
Ivo Minar,James Ward,18.0,-1,-1,3.0,1.0,0,-1,-2,-3,-1.0,2.0,2.0,4.0,0,0.01254901960784316,-0.022222222222222254,-0.33333333333333337,0.003527336860670194,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,179.0,161.0,"(175.0, 200.0]","(150.0, 175.0]",0
Thiemo de Bakker,Javier Marti,31.0,1,2,4.0,-2.0,-5,-16,-6,-14,1.0,4.0,19.0,30.0,8,0.09300648882480167,0.022727272727272707,-0.04285714285714287,0.07397583259652224,Hard,Qualifying,2012-01-16,2012,1,16,Qualifying,211.0,180.0,"(200.0, 225.0]","(175.0, 200.0]",1
